Name,Team,date,2B,3B,OPS,IBB,SB,CS,TB,DP,BB,HBP,K,HIT,SLG,OBP,PA,AB,BA,RBI,HR,SH,SF,R
신본기,롯데,07월 08일,0,0,0.3933,0,0,0,0.7,0,0.3,0,1.1,0.7,0.1833,0.21,5,4.7,0.1833,0.2,0,0,0,1
신본기,롯데,07월 10일,0,0,1.28,0,0,0,3.9,0,0.1,0,1.2,1.2,0.975,0.305,4.9,4.8,0.3,1,0.9,0,0,0
신본기,롯데,07월 11일,0,0,0.25,0,0,0,0.8,0,0,0,2.1,0.2,0.2,0.05,4.8,4.8,0.05,0.2,0.2,0,0,0
심우준,KT,04월 11일,0,0,0.635,0,0.9,0,1,0,0.9,0,1.3,1,0.25,0.385,5.9,4.8,0.25,0.9,0,0,0,1
심우준,KT,04월 12일,0.9,0,1.48,0,2,1.8,4.7,0,0.2,0,0.3,3.8,0.7997,0.6803,6.9,6.6,0.6503,1.1,0,0,0,1
심우준,KT,04월 13일,0.2,0,0.95,0,1.4,0.4,2,0,0.1,0.9,1,1.8,0.4166,0.5334,6.2,5.2,0.3834,0.3,0,0,0,0
심우준,KT,04월 17일,0.1,0,0.73,0,1.3,0.2,1.6,0,0,0.2,0.2,1.5,0.3583,0.3717,5.2,5,0.3417,0.1,0,0,0,0
심우준,KT,04월 20일,0,0,0.615,0,0.3,0,1.2,0,0,0.1,1,1.2,0.3,0.315,4.9,4.8,0.3,0,0,0,0,1
심우준,KT,04월 25일,0,0,1.23,0,0.1,0,3,0,0,0,1.1,3,0.615,0.615,5.7,5.7,0.615,0,0,0,0,0
심우준,KT,04월 26일,0,0,1.01,0,0,0,2.5,0,0,0,0.3,2.5,0.505,0.505,5.9,5.9,0.505,0.9,0,0,0,0
